Gene,EctoT1,EctoT2,EctoT3,EctoO1-E,EctoO2-E,EctoO3-E,EctoO1-L,EctoO2-L,EctoO3-L,EndoT1,EndoT2,EndoT3,EndoO1-E,EndoO2-E,EndoO3_E,EndoO1-L,EndoO2-L,EndoO3-L,SqCa-TT1,SqCa-TT2,SqCa-TT3,SqCa-1.1p,SqCa-1.2p,SqCa-1.2-E,SqCa-1.2-L,C-SqCa-2p,SqCa-4p,SqCa-4-E,SqCa-4-L,SqCa-5p,SqCa-5-E,SqCa-5-L,SqCa-6-E,SqCa-7-E,AdCa-1-E
CDK1,285,233,259,1121,1648,1353,1571,1607,1132,162,182,184,346,1015,2333,1409,2035,1175,1143,118,1375,3068,2958,3513,3401,1857,1802,1926,1923,2182,1904,2056,3650,1719,2565
CDC20,199,172,344,1190,1408,1215,1346,1231,887,193,245,191,431,937,2422,1679,1112,739,984,519,1141,1076,1045,1320,2074,1270,1264,1523,1046,2294,2286,1193,2796,1526,2891
TOP2A,642,582,469,5313,7711,6310,6767,6204,4917,496,584,565,1052,3177,9067,7333,6396,3932,1228,113,2348,8816,8591,11216,13166,7106,7222,8819,9858,6164,6323,7200,18224,5483,10422
FEN1,228,218,218,525,1103,562,724,1031,506,645,777,745,423,704,1689,1165,1064,675,952,296,1023,1428,1451,2051,2604,1080,740,959,1620,1344,1501,1237,4116,1745,3727
MCM7,1635,1689,1956,1982,3553,1958,2459,3269,2183,1211,1246,1191,1619,1553,3351,2928,2277,1998,4742,1435,7229,2581,3207,4506,7139,4879,4278,5884,8182,5079,5606,6755,10917,4961,8464
KIF23,322,247,261,583,975,742,768,779,593,91,116,122,276,668,1228,969,1199,875,449,42,754,1025,1233,1542,1496,1225,898,1202,954,1051,975,969,2258,830,2021
CDC45,75,69,82,172,330,161,257,298,196,43,59,55,94,167,448,307,301,229,436,171,848,378,430,485,663,665,281,363,676,709,768,530,1351,466,976
BUB1B,120,97,105,497,806,675,705,728,490,60,91,66,140,402,946,619,716,497,266,24,881,533,574,817,808,731,598,809,736,687,767,822,1658,757,2227
KIF11,308,280,352,1027,1834,1396,1479,1468,1184,171,186,171,251,624,1655,1256,1222,820,516,111,1007,1860,1591,2184,3174,1712,1369,1804,2080,1690,1774,2167,3408,1325,2415
BRCA1,132,167,221,325,463,395,476,490,397,167,207,164,131,338,790,645,640,558,261,104,510,1416,1209,1556,1262,1317,835,1102,1968,1368,1380,1435,2570,655,1500
