,GSM189381,GSM189382,GSM189383,GSM189384,GSM189385,GSM189386,GSM189387,GSM189388,GSM189389,GSM189390,GSM189391,GSM189392,GSM189393,GSM189394,GSM189395,GSM189396,GSM189397,GSM189398,GSM189399,GSM189400,GSM189401,GSM189402,GSM189403,GSM189404,GSM189405,GSM189406,GSM189407,GSM189408,GSM189409,GSM189410,GSM189411,GSM189412,GSM189413,GSM189414,GSM189415,GSM189416,GSM189417,GSM189418,GSM189419,GSM189420,GSM189421
CDK1,11.61976146,12.81157539,12.22641219,9.087462841,10.26678654,10.82416321,9.992938336,9.182394353,11.19044202,10.17367714,10.41362793,10.41151099,9.044394119,9.17990909,12.10689005,12.09967655,11.48532619,10.63843591,11.79766153,9,11.34872815,11.65508345,12.19352536,11.87574935,10.87498135,11.23361968,12.61355928,12.2974895,11.79360331,11.86495992,12.66155544,12.81958038,11.59851781,12.57341051,11.90275194,12.1792871,12.86534664,11.15418521,10.82813648,12.20548782,11.43045255
CDC20,11.20884399,9.99859043,9.544964433,7.988684687,8.28077077,9.21916852,7.033423002,7.693486957,9.09011242,8.164906927,9.240791332,8.383704292,6.523561956,7.366322214,9.434628228,10.04575966,9.157346935,8.703903573,9.972979786,7.531381461,8.982993575,9.50779464,9.672425342,9.278449458,9.483815777,10.21916852,9.552669098,9.971543554,9.269126679,9.656424863,9.422064766,10.07815081,9.856425529,9.797661526,9.326429487,9.991521846,9.902375114,9.632995197,9.348728154,9.766528909,9.008428622
TOP2A,10.28308835,12.53818893,10.84705735,8.614709844,10.00982862,10.39016896,9.438791853,8.622051819,9.285402219,9.383704292,9.044394119,9.044394119,8.379378367,8.945443836,11.47319838,11.48884435,10.2911707,9.631177056,11.28366717,8.948367232,10.84784036,10.6411486,10.80976813,10.93810933,10.83209885,11.76652891,11.29059489,11.74188827,11.11894107,11.49785184,11.85330956,12.34872815,11.99576715,11.92666663,11.26091953,10.88569637,12.183015,11.6379833,10.95782756,12.06877828,11.36796071
FEN1,11.02583167,11.93369065,12.50183718,10.63026713,10.98013958,11.25325658,10.74399286,10.36303963,11.53332973,11.63571812,11.58120058,11.3858624,10.45121111,11.12670447,12.70929925,12.43645129,12.01122726,11.61930296,13.06018928,11.48532619,12.41706135,12.46173522,12.86785786,12.58941708,12.05154884,13.21856324,12.81778312,13.15307697,12.6343573,12.36468186,12.81197669,12.67683861,13.09638573,12.38316426,12.34374092,12.31458324,12.97441459,12.63820963,11.87382857,12.56367296,12.90970561
MCM7,11.55985504,12.32923574,11.76942464,10.26561505,10.0768156,11.37340896,10.32192809,9.888743249,10.47269084,10.68035952,11.42259043,11.23002044,10.1382718,10.97154355,12.24257869,12.85623098,12.00702727,11.42992974,12.92907344,10.84627391,11.82336724,12.10230382,12.57246339,12.17897601,12.73407449,12.04200131,12.11958962,13.18130758,11.85681455,12.49735289,12.42862189,12.60894781,11.92888844,11.84392105,12.51471405,11.82057788,12.6570951,12.46582146,12.48834228,11.77848786,12.23870328
KIF23,9.519636253,10.65910396,9.136991112,7.129283017,7.592457037,8.044394119,7.787902559,7.159871337,7.499845887,6.894817763,7.741466986,7.330916878,7.247927513,6.794415866,8.252665432,9.344295908,7.761551232,7.383704292,7.714245518,7.864186145,7.426264755,8.675957033,8.539158811,8.266786541,8.592457037,9.497851837,8.980139578,9.842350343,8.430452552,8.6794801,8.876516947,9.405141463,8.204571144,8.413627929,10.29001885,9.071462363,9.236014192,8.409390936,8.005624549,10.5943246,8.724513853
CDC45,10.16490693,9.978710459,9.686500527,8.46760555,8.45532722,9.368506462,8.980139578,8.348728154,8.562242424,8.14974712,8.813781191,7.87036472,8.169925001,7.483815777,9.659995892,10.15481811,8.238404739,8.055282436,9.794415866,5.64385619,9.394462695,10.03066714,10.44914865,10.36084708,9.366322214,10.9822806,10.37937837,10.09671515,10.39767463,10.39981196,10.42206477,10.6794801,10.98513037,10.29347165,10.18982456,9.571752644,9.882643049,10.50581155,9.656424863,9.483815777,9.558420713
BUB1B,10.26795708,10.6110248,10.67683861,9.22881869,10.18239435,10.27612441,9.417852515,9.353146825,10.09803208,10.33985,8.797661526,9.152284842,9.605479518,9.038918989,10.67065625,10.5980525,9.781359714,9.493855449,9.786269628,8.13442632,10.23481743,10.84784036,10.93663794,10.6617781,10.08746284,10.86650621,10.75154406,11.18177344,10.69870467,10.80574387,10.2632692,11.17617315,10.42836017,10.43879185,11.02097994,10.57270023,10.62296694,10.85252951,10.08214904,10.4429435,10.64565843
KIF11,9.696967526,10.37829486,9.511752654,8.62935662,9.082149041,9.116343961,8.475733431,8.129283017,8.54689446,8.596189756,8.797661526,8.022367813,8.271463028,8.124121312,9.850186838,10.10721708,9.419960178,8.174925683,9.330916878,7.686500527,8.741466986,9.438791853,9.640244936,9.816983623,8.451211112,9.505811554,9.605479518,10.32867493,9.766528909,9.758223215,10.75405237,10.88111396,8.87958325,10.37068741,9.924812504,9.764871591,10,8.84862294,9.276124405,9.584962501,8.936637939
BRCA1,8.939579214,9.469641817,9.638435914,8.098032083,7.199672345,8.447083226,7.592457037,7.924812504,7.794415866,7.651051691,8.463524373,7.826548487,7.714245518,7.864186145,9.87958325,9.529430554,9.283088353,8.174925683,9.566054038,7.189824559,8.550746785,9.766528909,9.290018847,9.394462695,8.710806434,9.903881846,8.962896005,10.30833903,10.14593215,9.469641817,10.16113188,9.840777924,9.59058705,10.02652344,10.15228484,9.497851837,10.11634396,9.370687407,7.77478706,8.503825738,9.405141463
