,GSM246087,GSM246088,GSM246089,GSM246090,GSM246119,GSM246120,GSM246121,GSM246122,GSM246123,GSM246422,GSM246423,GSM246484,GSM246485,GSM246486,GSM246487,GSM246488,GSM246489,GSM246490,GSM246491,GSM247162,GSM247163,GSM247164,GSM247165,GSM247166,GSM247168,GSM247169,GSM247171,GSM247173,GSM247174,GSM247175,GSM247188,GSM247189,GSM247190,GSM247650,GSM247651,GSM247652,GSM247653,GSM247654,GSM247655,GSM247656,GSM247657,GSM247658,GSM247659,GSM247660,GSM247661,GSM247662,GSM247663,GSM247856,GSM247857,GSM247859,GSM247860,GSM247862,GSM247864,GSM247865,GSM247866,GSM247876,GSM247877,GSM247878,GSM247879,GSM247881,GSM247882,GSM247883,GSM247884,GSM247885,GSM247886,GSM247887
CDK1,869.3,1434.6,177.7,1885.6,1475.4,1402.5,1085.8,1925.4,834.1,25.7,30.7,34,180.3,269.2,957.4,147,148.3,130.2,140.4,162.7,165.7,133.2,165.7,81.9,118,28.4,196.1,103.7,88.3,150.2,57.9,47.2,95.9,604.4,668,2682.5,952.6,1547.6,1675.3,2009.8,1708.9,1697,1214.3,1087.1,757.4,1690.1,958.4,804,765.7,1053.2,534.1,941.1,392.6,273.7,227.8,802.6,97.6,52.4,2197.4,606.1,181.4,445.3,186.8,52.2,95.9,110.1
CDC20,1667.2,1840.8,3309.2,755,1877.4,1955.9,1604.9,2031.8,1888.1,23.9,61.6,21.2,169.3,180.8,221.4,139.9,141.3,174.8,356.8,224.3,311.7,102.7,105.4,271.6,288.2,91.7,240.1,147.9,98.2,122.7,101.9,40.8,161.2,734.2,348.9,1144.7,475,536.3,413.2,736.9,874.1,529,476.4,382,823.7,834.9,487.4,322.2,528.4,608.4,385,602.8,504.1,606.4,371.7,925.2,86.5,131.5,396.7,588.7,156.9,739.2,331,126.2,153.1,142.4
TOP2A,1670.3,1249.7,1097.4,1502,1520.3,3120.3,765.5,2256.2,711.6,11,13.6,18.3,85.1,42.1,463.2,167.2,121.3,93.8,135.6,207.7,174.2,56.3,62.5,67.9,118.2,17.5,144.4,80.8,66.7,64.8,53.9,25.5,143.4,575.5,331.7,831.4,707.2,1612.6,371.9,635.5,701.1,786.2,505.2,310.6,229.8,916.3,794.2,532.7,209.8,383.7,314.8,538.5,267.3,255.5,353,445.4,168.2,45.4,1075.7,549.1,92,249.8,175.1,84.8,34.1,63.5
FEN1,702.5,914.5,413.6,661.8,770.9,571.6,922,1288.1,1527.9,34.7,62.2,76.4,165.2,243.6,396.8,191.9,184,197.8,194.4,255.6,264.6,41.2,114.5,105,161.9,109.4,325.3,173.1,84.8,133.4,167.3,171,230.8,563.7,250.9,668.2,611.1,657.7,368.7,699.4,933.5,707,488.4,457.4,585,915.1,236.7,715,390.2,389.7,548.9,443.9,262.5,203.3,463.6,366.1,228.6,230.5,943.3,528.5,149.6,395.7,168.2,98.3,208.3,198.6
MCM7,846,2070.5,2943.3,1505.5,2107.5,2437.1,1184.4,1424.1,1369.7,166.6,291.8,358.8,305.6,168.6,255.2,282.4,188.8,286.7,288.1,323,309.6,161.3,283.6,325.2,271.4,172.9,233,196.3,147.8,201.4,21.3,310.9,278.5,840.7,408.3,1007.1,661.4,1241.3,577.1,1185.8,767.6,1163,6130.6,676.9,890.9,1147.2,887.6,911.3,658.5,1056.8,997.4,781.8,444.6,598.8,1038.8,1306.7,326.5,322.9,1132.7,841.6,181.3,540.3,355.5,121.9,379.7,316.8
KIF23,117.9,103.8,47.3,72.7,230.6,358.3,67.3,183,81.6,5.8,3.3,3.4,7.3,9.9,21,22.2,11.7,47.3,22.9,15.1,32.2,26.7,24.2,6.7,20,1.7,33,9.5,8.2,21.1,32.1,25.3,32.3,69.4,23.7,67.8,43.6,105.1,66,64,47.1,42,45.2,55.8,47.5,70.1,45.4,94.6,80,35.7,6.5,37.7,63,69.5,39.7,59.4,6.4,24.3,155.8,55,11.7,61.2,27.1,10.5,18.9,23
CDC45,281.3,416.9,462.9,472.5,387.8,529.1,617.8,268.7,227.6,17.1,16.6,9.4,56.3,2.2,14.4,48.2,45.9,7.3,26.2,90.5,33.9,8.8,22.3,35.5,47.5,7.2,5,24.8,109.6,15.2,16.9,5.6,14.7,120.5,83.8,218.5,114.2,186.6,46.3,218.1,182.3,121,119,146.9,226,212.3,98.8,172.5,103.4,128.2,172.3,150.2,82.6,155.6,66.9,115.6,4.8,47.1,162.4,211.5,2.5,54.8,87.1,5.4,33.7,29.2
BUB1B,740.5,644.9,957.1,588.6,747,992.7,358.1,768.3,1232.6,15.6,41.4,60.4,91.5,133.3,143.5,198.5,133.8,119.8,119,286.9,239.3,170.1,130.7,147.6,181.1,75,222.9,108.9,115.5,231.9,141.5,139,174.7,360.2,180.6,494.1,222,470.3,310.2,591.3,555.1,366.7,212.1,245,222,447.4,310.3,263.6,360,260.1,352.6,288.2,295.8,161.7,313.1,263,115.4,142.8,597.1,508.5,64.7,227.7,126.1,50.5,55.3,103.5
KIF11,276.4,360.7,136.1,136.8,305.5,321.1,213.9,264.8,368.9,18.6,11.9,14.2,65.5,90,112.7,110.1,116.7,63.4,92,125.3,125.2,77.5,92.2,80.8,103,64,138.6,124.3,91.1,86.4,56.6,63.3,93.1,139.4,165.7,374.7,155.5,360.7,417.5,207.7,277.8,266.9,206.4,151.6,141.2,219.4,144.2,213.6,144.7,203.2,263.9,231.3,127.7,134.6,105.7,128.9,115.4,90,434.9,175.3,52.6,260.6,87.3,39.8,38.7,74
BRCA1,330.1,325.8,56.6,89,176,277.1,1458.2,427.4,165.5,15.5,27.2,29.5,44.3,29.4,73.8,63.7,61.9,66.3,48.8,46.5,79.5,42.3,24.6,41.4,31.6,11.1,115.7,39,31.3,45.1,47.2,28.1,26,160.3,96.4,163,183,311.4,109.2,168,109.7,108.3,179.9,140.4,68.8,174.4,169.4,169.5,57.9,115.1,121.9,131.5,106.3,57.4,66.5,116.6,90.5,47.1,251.8,120,41.4,26,113.2,13.7,33.4,22.5
